iter	MultiClass
0	1.037667922
1	0.9877571408
2	0.9483106402
3	0.9172238313
4	0.8907075425
5	0.8688024799
6	0.8502067209
7	0.8350934099
8	0.8214274843
9	0.8092228606
10	0.7993791766
11	0.7899390371
12	0.7823470048
13	0.7749124123
14	0.7688821465
15	0.7631301881
16	0.7582074981
17	0.7545858843
18	0.751336813
19	0.7476284086
20	0.7451892941
21	0.7427313157
22	0.740111801
23	0.7378937149
24	0.736835144
25	0.7351607681
26	0.7336569775
27	0.7322632
28	0.7312468921
29	0.7303472163
30	0.7294530318
31	0.7283498198
32	0.7273080061
33	0.7265755083
34	0.7258793145
35	0.725392507
36	0.7248561397
37	0.7243362868
38	0.7235466425
39	0.7228986696
40	0.7227243632
41	0.7222277453
42	0.7214110847
43	0.7212953986
44	0.7209625893
45	0.720652344
46	0.7205225053
47	0.7203696122
48	0.7200894209
49	0.7198810175
50	0.7197887553
51	0.7194986199
52	0.7193468997
53	0.7192812863
54	0.7191269123
55	0.7190012286
56	0.7189370497
57	0.7187171585
58	0.7186491459
59	0.7182792327
60	0.7180615146
61	0.7178576633
62	0.7177654154
63	0.7175649298
64	0.7175099756
65	0.7174419139
66	0.7174081875
67	0.7173796979
68	0.7172839066
69	0.7172320022
70	0.7171278368
71	0.7170998415
72	0.7169113081
73	0.7167702186
74	0.7167354801
75	0.7167116795
76	0.7165971115
77	0.7165168128
78	0.7164955873
79	0.7164710139
80	0.7164476895
81	0.716413313
82	0.7163950269
83	0.7163751552
84	0.7163326721
85	0.716290981
86	0.7162359944
87	0.7161978016
88	0.7160928536
89	0.7160076167
90	0.7159225019
91	0.7158916726
92	0.7158803145
93	0.7158658944
94	0.7155778435
95	0.715385682
96	0.7153033612
97	0.7152691924
98	0.7152543551
99	0.7152339308
100	0.7152029593
101	0.7151522875
102	0.7151270412
103	0.7151049158
104	0.7149017442
105	0.7147464744
106	0.7145776684
107	0.7145148442
108	0.7145002824
109	0.7144728627
110	0.7144624631
111	0.7144246995
112	0.7143862956
113	0.7143577136
114	0.7142741832
115	0.7141558095
116	0.7140969719
117	0.7140627792
118	0.7139161879
119	0.71389177
120	0.7138450009
121	0.7137909657
122	0.7137675787
123	0.7136706237
124	0.7136474787
125	0.7136098044
