iter	Passed	Remaining
0	6	6774
1	12	6066
2	16	5643
3	21	5336
4	26	5181
5	30	5133
6	36	5129
7	41	5092
8	46	5079
9	51	5090
10	56	5094
11	62	5128
12	67	5152
13	73	5160
14	78	5153
15	83	5154
16	88	5127
17	93	5098
18	98	5070
19	103	5089
20	109	5101
21	114	5099
22	120	5125
23	125	5117
24	131	5122
25	137	5137
26	142	5128
27	147	5131
28	152	5120
29	157	5107
30	163	5102
31	168	5099
32	173	5088
33	178	5079
34	183	5065
35	189	5064
36	194	5066
37	199	5056
38	204	5050
39	210	5047
40	215	5033
41	220	5033
42	225	5024
43	230	5010
44	235	5000
45	240	4987
46	245	4971
47	249	4954
48	254	4937
49	258	4917
50	263	4901
51	268	4890
52	272	4874
53	277	4859
54	281	4839
55	285	4819
56	290	4803
57	295	4791
58	299	4780
59	304	4771
60	309	4765
61	313	4749
62	318	4738
63	323	4725
64	327	4713
65	332	4700
66	336	4687
67	340	4668
68	345	4657
69	349	4647
70	353	4631
71	358	4621
72	363	4614
73	368	4606
74	372	4592
75	376	4580
76	381	4573
77	385	4561
78	390	4552
79	394	4536
80	398	4524
81	402	4508
82	407	4497
83	411	4485
84	415	4474
85	419	4462
86	424	4455
87	429	4448
88	434	4444
89	438	4438
90	443	4431
91	448	4427
92	452	4417
93	456	4402
94	461	4396
95	466	4388
96	470	4382
97	475	4375
98	479	4364
99	483	4351
100	488	4344
101	492	4337
102	497	4329
103	501	4320
104	506	4316
105	511	4313
106	516	4307
107	521	4303
108	525	4298
109	530	4292
110	534	4282
111	539	4275
112	543	4268
113	548	4260
114	552	4254
115	557	4251
116	562	4244
117	566	4237
118	571	4233
119	576	4224
120	580	4217
121	585	4211
122	589	4200
123	593	4194
124	597	4184
125	602	4177
126	606	4172
127	611	4162
128	615	4156
129	619	4147
130	624	4143
131	629	4139
132	633	4132
133	638	4126
134	643	4120
135	647	4114
136	652	4107
137	656	4100
138	660	4092
139	665	4089
140	669	4081
141	674	4073
142	678	4067
143	682	4057
144	687	4053
145	691	4043
146	695	4038
147	700	4030
148	704	4021
149	708	4016
150	713	4010
151	718	4006
152	722	4001
153	727	3995
154	732	3990
155	737	3989
156	742	3986
157	747	3983
158	752	3980
159	757	3978
160	761	3970
161	766	3966
162	772	3966
163	777	3964
164	782	3960
165	787	3954
166	792	3951
167	797	3948
168	802	3945
169	808	3945
170	812	3940
171	817	3934
172	821	3928
173	826	3925
174	831	3922
175	837	3920
176	842	3918
177	847	3914
178	852	3910
179	857	3905
180	861	3898
181	866	3894
182	871	3888
183	875	3884
184	880	3878
185	885	3875
186	889	3868
187	894	3861
188	898	3856
189	903	3852
190	908	3847
191	913	3843
192	918	3838
193	923	3834
194	927	3829
195	932	3826
196	937	3821
197	942	3817
198	947	3812
199	951	3806
200	956	3802
201	960	3795
202	965	3790
203	970	3785
204	974	3780
205	978	3773
206	983	3767
207	988	3763
208	993	3758
209	997	3754
210	1002	3749
211	1007	3743
212	1012	3739
213	1016	3733
214	1021	3728
215	1025	3723
216	1030	3719
217	1035	3714
218	1040	3709
219	1045	3705
220	1049	3698
221	1054	3694
222	1059	3689
223	1063	3685
224	1068	3679
225	1073	3675
226	1077	3670
227	1082	3664
228	1086	3659
229	1091	3654
230	1096	3650
231	1101	3645
232	1106	3641
233	1110	3636
234	1115	3632
235	1120	3628
236	1125	3623
237	1130	3620
238	1135	3616
239	1141	3615
240	1147	3614
241	1152	3610
242	1158	3609
243	1164	3607
244	1169	3603
245	1174	3600
246	1180	3597
247	1185	3593
248	1190	3589
249	1194	3583
250	1199	3579
251	1204	3575
252	1209	3569
253	1213	3565
254	1219	3563
255	1225	3560
256	1230	3557
257	1235	3552
258	1240	3548
259	1245	3544
260	1249	3538
261	1254	3533
262	1258	3527
263	1263	3523
264	1269	3519
265	1273	3515
266	1278	3510
267	1283	3505
268	1288	3500
269	1292	3494
270	1296	3488
271	1300	3482
272	1305	3476
273	1310	3471
274	1315	3467
275	1319	3461
276	1324	3455
277	1328	3450
278	1332	3443
279	1337	3438
280	1341	3433
281	1347	3429
282	1351	3425
283	1356	3420
284	1360	3414
285	1365	3409
286	1370	3405
287	1374	3398
288	1379	3394
289	1384	3388
290	1388	3382
291	1392	3376
292	1397	3371
293	1402	3366
294	1406	3362
295	1411	3356
296	1416	3352
297	1420	3346
298	1425	3342
299	1430	3338
300	1435	3333
301	1440	3328
302	1444	3323
303	1449	3319
304	1454	3314
305	1459	3309
306	1464	3306
307	1469	3301
308	1473	3296
309	1478	3291
310	1483	3287
311	1488	3283
312	1494	3279
313	1498	3274
314	1503	3270
315	1508	3264
316	1513	3260
317	1517	3254
318	1522	3250
319	1527	3246
320	1532	3241
321	1537	3236
322	1541	3231
323	1546	3227
324	1552	3223
325	1556	3218
326	1562	3215
327	1566	3208
328	1571	3204
329	1576	3200
330	1580	3195
331	1585	3190
332	1590	3185
333	1595	3181
334	1599	3175
335	1604	3170
336	1608	3165
337	1613	3160
338	1618	3156
339	1623	3152
340	1628	3147
341	1632	3140
342	1637	3136
343	1642	3131
344	1646	3126
345	1651	3121
346	1656	3116
347	1660	3111
348	1665	3106
349	1670	3101
350	1674	3096
351	1679	3091
352	1684	3086
353	1688	3081
354	1693	3076
355	1697	3071
356	1702	3066
357	1707	3061
358	1711	3056
359	1716	3052
360	1721	3047
361	1726	3042
362	1730	3037
363	1735	3032
364	1739	3027
365	1744	3021
366	1748	3016
367	1753	3012
368	1758	3006
369	1763	3001
370	1768	2998
371	1772	2992
372	1777	2987
373	1781	2982
374	1785	2976
375	1790	2971
376	1795	2967
377	1800	2963
378	1805	2957
379	1810	2953
380	1814	2947
381	1818	2942
382	1823	2937
383	1827	2932
384	1832	2926
385	1836	2921
386	1842	2917
387	1846	2912
388	1851	2908
389	1856	2903
390	1860	2898
391	1865	2893
392	1870	2889
393	1875	2884
394	1879	2879
395	1884	2875
396	1889	2870
397	1895	2866
398	1900	2862
399	1905	2858
400	1909	2852
401	1914	2848
402	1919	2843
403	1924	2838
404	1928	2832
405	1933	2828
406	1938	2823
407	1942	2819
408	1947	2814
409	1952	2809
410	1957	2804
411	1961	2799
412	1965	2794
413	1970	2789
414	1975	2784
415	1980	2780
416	1986	2776
417	1991	2772
418	1995	2767
419	2001	2763
420	2005	2758
421	2010	2753
422	2015	2748
423	2019	2743
424	2024	2739
425	2029	2734
426	2034	2730
427	2039	2725
428	2044	2721
429	2049	2716
430	2053	2711
431	2058	2706
432	2063	2702
433	2068	2697
434	2073	2692
435	2078	2688
436	2082	2683
437	2087	2678
438	2092	2673
439	2096	2668
440	2101	2663
441	2106	2659
442	2111	2654
443	2116	2649
444	2120	2644
445	2125	2639
446	2130	2635
447	2135	2631
448	2141	2628
449	2147	2624
450	2152	2620
451	2156	2615
452	2161	2609
453	2166	2605
454	2170	2600
455	2175	2595
456	2180	2590
457	2185	2586
458	2190	2581
459	2195	2576
460	2199	2572
461	2205	2567
462	2210	2564
463	2215	2559
464	2219	2554
465	2224	2549
466	2229	2544
467	2234	2539
468	2238	2534
469	2243	2529
470	2248	2525
471	2253	2520
472	2258	2515
473	2262	2511
474	2267	2506
475	2272	2501
476	2276	2496
477	2281	2491
478	2286	2486
479	2290	2481
480	2295	2476
481	2299	2471
482	2304	2466
483	2308	2460
484	2312	2455
485	2317	2450
486	2321	2445
487	2325	2440
488	2330	2435
489	2334	2429
490	2338	2424
491	2343	2419
492	2347	2414
493	2351	2408
494	2356	2403
495	2360	2398
496	2365	2393
497	2369	2388
498	2374	2383
499	2378	2378
500	2382	2373
501	2387	2368
502	2391	2363
503	2397	2359
504	2401	2354
505	2406	2349
506	2411	2344
507	2416	2340
508	2420	2335
509	2425	2330
510	2430	2325
511	2435	2320
512	2440	2316
513	2444	2311
514	2449	2306
515	2453	2301
516	2458	2296
517	2463	2291
518	2468	2287
519	2473	2283
520	2478	2278
521	2483	2273
522	2487	2269
523	2492	2264
524	2497	2259
525	2501	2254
526	2506	2249
527	2510	2244
528	2515	2239
529	2519	2234
530	2523	2229
531	2528	2224
532	2532	2219
533	2537	2214
534	2541	2209
535	2546	2204
536	2550	2199
537	2555	2194
538	2560	2189
539	2564	2184
540	2568	2179
541	2572	2174
542	2577	2169
543	2582	2164
544	2586	2159
545	2591	2154
546	2595	2149
547	2600	2144
548	2604	2139
549	2609	2134
550	2613	2129
551	2618	2124
552	2622	2119
553	2626	2114
554	2631	2109
555	2636	2105
556	2641	2100
557	2645	2095
558	2649	2090
559	2654	2086
560	2659	2080
561	2663	2075
562	2668	2071
563	2672	2066
564	2677	2061
