iter	Passed	Remaining
0	8	8210
1	14	7049
2	19	6490
3	24	6173
4	30	6036
5	36	5983
6	41	5841
7	46	5825
8	52	5742
9	57	5699
10	63	5701
11	69	5732
12	74	5662
13	80	5676
14	86	5652
15	90	5571
16	95	5535
17	101	5548
18	106	5482
19	111	5460
20	116	5421
21	121	5381
22	125	5349
23	130	5312
24	136	5309
25	141	5287
26	146	5268
27	152	5279
28	157	5266
29	162	5255
30	167	5244
31	172	5224
32	178	5223
33	183	5201
34	187	5180
35	192	5165
36	197	5145
37	202	5128
38	207	5114
39	212	5088
40	216	5075
41	221	5048
42	226	5035
43	231	5021
44	235	4997
45	239	4976
46	244	4950
47	248	4933
48	253	4911
49	257	4901
50	262	4890
51	268	4894
52	273	4888
53	279	4897
54	285	4897
55	289	4888
56	295	4891
57	301	4896
58	306	4891
59	311	4883
60	318	4896
61	324	4908
62	331	4924
63	337	4932
64	342	4930
65	349	4945
66	354	4943
67	359	4933
68	366	4939
69	371	4936
70	376	4931
71	383	4941
72	389	4943
73	394	4933
74	400	4937
75	406	4940
76	412	4944
77	417	4937
78	423	4938
79	429	4938
80	434	4934
81	440	4933
82	446	4933
83	451	4918
84	457	4923
85	462	4916
86	467	4904
87	472	4901
88	479	4904
89	483	4890
90	489	4887
91	495	4885
92	499	4875
93	505	4873
94	511	4875
95	516	4867
96	522	4865
97	528	4861
98	532	4848
99	537	4841
100	542	4828
101	547	4818
102	551	4801
103	555	4788
104	561	4782
105	565	4768
106	570	4758
107	574	4742
108	579	4733
109	583	4718
110	588	4710
111	592	4697
112	597	4686
113	601	4671
114	605	4661
115	610	4649
116	614	4637
117	618	4626
118	623	4614
119	628	4606
120	632	4591
121	637	4584
122	641	4573
123	646	4565
124	650	4554
125	655	4546
126	660	4542
127	666	4540
128	671	4535
129	677	4537
130	682	4527
131	687	4523
132	693	4519
133	698	4511
134	703	4505
135	707	4495
136	712	4488
137	717	4481
138	722	4472
139	727	4467
140	731	4457
141	735	4446
142	741	4440
143	745	4434
144	750	4426
145	754	4414
146	759	4407
147	764	4399
148	769	4394
149	774	4387
150	779	4381
151	784	4374
152	788	4363
153	793	4359
154	798	4352
155	803	4344
156	807	4337
157	812	4327
158	816	4319
159	820	4308
160	825	4299
161	829	4289
162	834	4284
163	839	4278
164	844	4271
165	849	4266
166	853	4257
167	858	4252
168	863	4244
169	868	4238
170	872	4231
171	877	4222
172	882	4216
173	886	4208
174	891	4201
175	895	4191
176	900	4187
177	904	4176
178	909	4171
179	914	4166
180	918	4157
181	924	4153
182	928	4146
183	934	4142
184	938	4132
185	942	4125
186	947	4119
187	952	4112
188	957	4109
189	962	4103
190	967	4099
191	972	4092
192	977	4085
193	982	4081
194	987	4074
195	991	4067
196	997	4063
197	1001	4057
198	1006	4050
199	1011	4045
200	1016	4039
201	1021	4033
202	1025	4026
203	1030	4020
204	1035	4013
205	1039	4006
206	1044	4000
207	1048	3993
208	1053	3987
209	1058	3980
210	1062	3974
211	1067	3969
212	1072	3960
213	1076	3954
214	1081	3948
215	1086	3942
216	1091	3937
217	1096	3931
218	1100	3925
219	1105	3920
220	1110	3913
221	1115	3907
222	1118	3898
223	1123	3892
224	1128	3887
225	1134	3884
226	1139	3880
227	1144	3876
228	1150	3873
229	1156	3870
230	1162	3871
231	1169	3871
232	1175	3868
233	1181	3867
234	1186	3863
235	1191	3858
236	1197	3854
237	1201	3847
238	1207	3843
239	1211	3836
240	1216	3830
241	1221	3827
242	1226	3819
243	1231	3816
244	1236	3809
245	1241	3805
246	1246	3800
247	1251	3794
248	1256	3789
249	1260	3780
250	1264	3774
251	1268	3765
252	1273	3759
253	1277	3752
254	1282	3746
255	1287	3741
256	1291	3734
257	1296	3728
258	1300	3720
259	1305	3716
260	1310	3710
261	1315	3704
262	1320	3700
263	1324	3693
264	1329	3688
265	1333	3680
266	1339	3677
267	1343	3669
268	1348	3664
269	1353	3658
270	1357	3652
271	1361	3645
272	1365	3636
273	1370	3632
274	1374	3624
275	1379	3619
276	1384	3613
277	1389	3608
278	1393	3602
279	1398	3596
280	1403	3591
281	1407	3584
282	1412	3579
283	1417	3573
284	1421	3567
285	1426	3560
286	1430	3554
287	1435	3548
288	1439	3541
289	1444	3535
290	1448	3529
291	1453	3524
292	1457	3517
293	1462	3511
294	1466	3504
295	1471	3499
296	1475	3492
297	1480	3487
298	1485	3482
299	1489	3475
300	1494	3471
301	1499	3465
302	1504	3459
303	1508	3452
304	1512	3447
305	1517	3442
306	1521	3435
307	1527	3432
308	1531	3425
309	1536	3420
310	1540	3412
311	1544	3406
312	1548	3399
313	1553	3393
314	1557	3387
315	1562	3382
316	1566	3375
317	1570	3369
318	1575	3363
319	1579	3356
320	1585	3353
321	1589	3346
322	1594	3341
323	1597	3333
324	1603	3329
325	1607	3323
326	1612	3318
327	1616	3311
328	1620	3305
329	1625	3300
330	1629	3294
331	1634	3287
332	1638	3281
333	1643	3277
334	1647	3271
335	1652	3265
336	1657	3260
337	1662	3255
338	1666	3250
339	1671	3243
340	1676	3239
341	1680	3232
342	1685	3228
343	1689	3222
344	1694	3217
345	1699	3212
346	1703	3206
347	1708	3200
348	1713	3195
349	1717	3190
350	1722	3185
351	1727	3180
352	1731	3174
353	1736	3168
354	1741	3163
355	1745	3156
356	1749	3151
357	1754	3145
358	1759	3141
359	1763	3134
360	1768	3130
361	1772	3124
362	1777	3118
363	1782	3113
364	1786	3108
365	1791	3103
366	1795	3097
367	1800	3092
368	1804	3086
369	1809	3081
370	1813	3075
371	1818	3069
372	1822	3064
373	1827	3058
374	1832	3053
375	1835	3046
376	1840	3041
377	1844	3035
378	1849	3031
379	1854	3025
380	1859	3020
381	1864	3015
382	1868	3009
383	1873	3004
384	1877	2998
385	1882	2994
386	1886	2988
387	1891	2983
388	1895	2976
389	1900	2972
390	1904	2966
391	1909	2961
392	1913	2956
393	1918	2950
394	1923	2945
395	1927	2940
396	1933	2936
397	1937	2929
398	1941	2924
399	1946	2919
400	1950	2914
401	1956	2910
402	1960	2904
403	1965	2899
404	1969	2893
405	1974	2888
406	1978	2882
407	1983	2877
408	1987	2872
409	1992	2866
410	1997	2862
411	2001	2856
412	2007	2852
413	2011	2846
414	2016	2841
415	2020	2836
